Pt1,Pt2,Pt3,F1,F2,F3,Error,EEF
0,34,97,[0.4149703745817287],[0.4408828645707958],[0.0],19.854491260715612,[  9.32438022  -4.92083514 -20.0679856 ]
4,39,99,[48.6336111506052],[46.931009441918974],[1.702619559235852],5.225552455420244e-05,[-13.95620881   6.67274252 -11.59793785]
4,130,181,[0.0],[11.538382350366922],[18.245890234833126],11.687408658711947,[  8.43679604 -11.25002468 -15.8522536 ]
5,133,178,[0.0],[0.6081714689643083],[1.0454025541852174],19.418335315895646,[  8.33006876 -16.69695408  -2.91315949]
6,131,181,[44.65444067594077],[70.0],[26.522928701700383],2.012412511908196,[  0.39456168 -19.37705602   0.15547287]
9,129,174,[2.131815851693077],[3.528392858848094],[0.0],19.239386803095417,[ -8.16981823 -12.20801863   7.83832435]
10,16,28,[69.96565066954356],[45.13410359882178],[24.8315368048066],4.20933148259591e-05,[ 1.37595509 12.02590679 10.49520625]
10,28,179,[39.09984345885492],[69.97913087820987],[30.879288381435117],2.799291723620926e-05,[-0.95443484 10.63888809 12.23235832]
10,39,179,[0.0],[2.6742512694205294],[9.761382707185925],17.440513554893386,[13.61527652  9.94250607 11.39298735]
11,52,67,[1.285118506850211e-15],[4.199727871889356],[11.176331358852723],13.591515923978934,[-11.70190934  -9.30224778   8.57273957]
12,51,114,[0.7274561303372786],[0.46577594533364886],[0.0],19.57795785767997,[10.73370169 13.97276144 -4.74966341]
12,68,139,[24.649708821909016],[1.6510608890990462e-13],[23.771520576201645],0.9159457208879622,[-3.37976481 14.66062637  6.70495028]
16,28,43,[0.0],[1.921663149711599],[0.0693418852795005],19.295001012641368,[ 12.86139562 -11.49070235  -3.10808888]
25,163,178,[18.449668759827247],[49.00135289121616],[67.45099034420322],8.531634853840323,[ 10.79018782  -2.23155818 -18.13453408]
32,112,155,[0.0],[0.07587940799177965],[0.41404275373604704],19.854627356244222,[ 3.68698783 -9.54806198 16.09482628]
32,112,166,[0.0533433145590737],[0.0],[1.2688979641025304],19.55504615578372,[ 3.37232505  1.00941327 14.29086937]
32,112,171,[3.607551979204764e-15],[3.056802380921768e-15],[5.676698578484668],17.903239075038393,[ 3.75378001 -4.90212928 16.01495508]
34,56,97,[0.4477893892784668],[2.0907000908537667],[2.812324180489959e-16],19.41650933856548,[-8.39572448  0.53904429 12.91989951]
34,56,117,[0.44778926914081973],[2.0905682330912643],[2.8968510570340925e-16],19.41650924124078,[-1.5787718  -1.11394514 14.25807062]
34,65,117,[0.0],[1.553562009093738],[0.4005494019495909],19.448703030464692,[-1.53602026 -7.76668507 15.33873929]
34,97,161,[6.302305569960689e-14],[1.657720073182109],[1.9628341036473818],19.300713931744703,[-9.08285992 -6.16305948 14.46385965]
34,117,153,[0.0],[0.24315650806923783],[0.39542666066178683],19.860992807339233,[ -1.46965404 -10.14819425  15.16333258]
39,99,176,[45.31298621263374],[24.636860310336427],[69.9511291430667],18.217124411662518,[ 5.98604359 -3.11299797 20.24166588]
43,57,151,[4.717151693487283e-13],[21.28927172312636],[21.121240780347037],0.16937178828390712,[ 3.07053568 22.85544831  9.59730795]
43,74,130,[25.054134373104997],[44.92494426506325],[69.97909695247844],2.5878772057288013e-05,[ 14.54302188  -1.26879497 -10.72179428]
51,94,176,[15.284593834971048],[2.743206394977354e-13],[14.02353877370816],1.3543777527275738,[-1.63876683 21.09586948  0.93273072]
59,140,152,[2.6864917096658023],[1.762670792403286e-16],[1.0331421503767235],19.036522753914277,[ 8.1288163  -4.71477303 16.5913354 ]
59,141,152,[2.686433415975948],[0.0],[1.0329937969744656],19.03652274083695,[ 7.81028773 -5.45319379 16.07109543]
59,142,152,[2.6866310227818153],[1.331181939473092e-14],[1.0330812039805215],19.03652274357446,[ 9.51730259 -1.06822362 18.41980074]
66,147,183,[40.48129584207072],[69.99818180087335],[29.517299815992345],19.383076101723525,[  6.81240009   6.57287347 -12.01020933]
73,134,184,[13.391494604614529],[69.77350736738086],[56.382008509301684],4.318113196769879e-05,[14.49395283 -5.38856726 -8.82702097]
74,119,150,[0.32383184704401174],[0.0],[0.38451577916111745],19.750539188609622,[13.1745484  11.34734319 -3.55266336]
103,131,176,[0.0],[1.7294193244833351],[1.1068469716453735],18.98634929153707,[  9.96447388 -12.98943362  -8.87282365]
107,116,134,[1.49689072825176e-12],[22.508265531310858],[16.50532512117498],9.213876803150512,[  1.46911828 -22.36232682  -1.09355173]
115,132,176,[20.822112375035335],[69.9740903406041],[49.151989075150986],2.4051321782164842e-05,[-5.48824136 -8.70528228 14.44160451]
115,135,138,[15.679306487272136],[0.10065921140466196],[11.5293454894036],4.204379346020212,[  3.83600278 -22.77174699   1.07740423]
129,160,183,[4.248620405171294],[0.0],[5.333085699564337],16.332838384231604,[-15.07036934   4.35188085   7.01141137]
130,160,183,[8.669240691209687],[0.0],[7.9128998939685715],13.104321552786326,[-14.44520217   5.4111718    9.79206345]
132,160,183,[69.95699228363873],[6.336692401462344],[63.62031515301543],2.4639288803694862e-05,[-12.15864394   7.3105572   14.31423198]
146,160,183,[69.99941796783621],[35.832929242762276],[34.168191537355504],19.445078328238637,[ 0.37207467 10.49188858 22.35066626]
